"","timepoint","seedlingID","0","1"
"395",2,"33_right_CEOL_blue",NA,4.677
"396",2,"33_right_CEOL_green",NA,2.625
"397",2,"34_left_CEOL_blue",NA,NA
"398",2,"34_left_CEOL_green",NA,NA
"399",2,"34_right_CEOL_blue",NA,3.65
"400",2,"34_right_CEOL_green",NA,NA
"401",2,"35_left_CEOL_blue",1.883,NA
"402",2,"35_left_CEOL_green",NA,NA
"403",2,"35_right_CEOL_blue",NA,2.129
"404",2,"35_right_CEOL_green",2.081,NA
"405",2,"36_left_CEOL_blue",NA,NA
"406",2,"36_left_CEOL_green",NA,NA
"407",2,"36_right_CEOL_blue",NA,NA
"408",2,"36_right_CEOL_green",NA,NA
"409",2,"4_left_CEOL_blue",NA,NA
"410",2,"4_left_CEOL_green",NA,1.36
"411",2,"4_right_CEOL_blue",NA,NA
"412",2,"4_right_CEOL_green",NA,1.99
"413",2,"5_left_CEOL_blue",NA,2.456
"414",2,"5_left_CEOL_green",NA,1.89
"415",2,"5_right_CEOL_blue",NA,1.33
"416",2,"5_right_CEOL_green",NA,NA
"417",2,"6_left_CEOL_blue",NA,NA
"418",2,"6_left_CEOL_green",NA,NA
"419",2,"6_right_CEOL_blue",NA,NA
"420",2,"6_right_CEOL_green",NA,NA
"421",2,"7_left_CEOL_blue",NA,NA
"422",2,"7_left_CEOL_green",NA,0.53
"423",2,"7_right_CEOL_blue",NA,NA
"424",2,"7_right_CEOL_green",NA,NA
"425",2,"8_left_CEOL_blue",NA,NA
"426",2,"8_left_CEOL_green",NA,NA
"427",2,"8_right_CEOL_blue",NA,NA
"428",2,"8_right_CEOL_green",NA,NA
"429",2,"9_left_CEOL_blue",NA,NA
"430",2,"9_left_CEOL_green",NA,0.815
"431",2,"9_right_CEOL_blue",NA,NA
"432",2,"9_right_CEOL_green",NA,NA
"433",3,"1_left_CEOL_blue",NA,NA
"434",3,"1_left_CEOL_green",NA,NA
"435",3,"1_right_CEOL_blue",NA,NA
"436",3,"1_right_CEOL_green",NA,NA
"437",3,"10_left_CEOL_blue",NA,NA
"438",3,"10_left_CEOL_green",NA,NA
"439",3,"10_right_CEOL_blue",NA,NA
"440",3,"10_right_CEOL_green",NA,NA
"441",3,"11_left_CEOL_blue",NA,NA
"442",3,"11_left_CEOL_green",NA,NA
"443",3,"11_right_CEOL_blue",NA,NA
"444",3,"11_right_CEOL_green",NA,NA
"445",3,"12_left_CEOL_blue",NA,NA
"446",3,"12_left_CEOL_green",NA,NA
"447",3,"12_right_CEOL_blue",NA,NA
"448",3,"12_right_CEOL_green",NA,NA
"449",3,"13_left_CEOL_blue",NA,NA
"450",3,"13_left_CEOL_green",NA,NA
"451",3,"13_right_CEOL_blue",NA,NA
"452",3,"13_right_CEOL_green",NA,NA
"453",3,"14_left_CEOL_blue",NA,NA
"454",3,"14_left_CEOL_green",NA,NA
"455",3,"14_right_CEOL_blue",NA,NA
"456",3,"14_right_CEOL_green",NA,NA
"457",3,"15_left_CEOL_blue",NA,NA
"458",3,"15_left_CEOL_green",NA,NA
"459",3,"15_right_CEOL_blue",NA,NA
"460",3,"15_right_CEOL_green",NA,NA
"461",3,"16_left_CEOL_blue",NA,NA
"462",3,"16_left_CEOL_green",NA,NA
"463",3,"16_right_CEOL_blue",NA,NA
"464",3,"16_right_CEOL_green",NA,NA
"465",3,"17_left_CEOL_blue",NA,NA
"466",3,"17_left_CEOL_green",NA,NA
"467",3,"17_right_CEOL_blue",NA,NA
"468",3,"17_right_CEOL_green",NA,NA
"469",3,"18_left_CEOL_blue",NA,NA
"470",3,"18_left_CEOL_green",NA,NA
"471",3,"18_right_CEOL_blue",NA,NA
"472",3,"18_right_CEOL_green",NA,NA
"473",3,"19_left_CEOL_blue",NA,NA
"474",3,"19_left_CEOL_green",NA,NA
"475",3,"19_right_CEOL_blue",NA,NA
"476",3,"19_right_CEOL_green",NA,NA
"477",3,"2_left_CEOL_blue",NA,NA
"478",3,"2_left_CEOL_green",NA,NA
"479",3,"2_right_CEOL_blue",NA,NA
"480",3,"2_right_CEOL_green",NA,NA
"481",3,"20_left_CEOL_blue",NA,NA
"482",3,"20_left_CEOL_green",NA,NA
"483",3,"20_right_CEOL_blue",NA,NA
"484",3,"20_right_CEOL_green",NA,NA
"485",3,"21_left_CEOL_blue",NA,NA
"486",3,"21_left_CEOL_green",NA,NA
"487",3,"21_right_CEOL_blue",NA,NA
"488",3,"21_right_CEOL_green",NA,NA
"489",3,"22_left_CEOL_blue",NA,NA
"490",3,"22_left_CEOL_green",NA,NA
"491",3,"22_right_CEOL_blue",NA,NA
"492",3,"22_right_CEOL_green",NA,NA
"493",3,"23_left_CEOL_blue",NA,NA
"494",3,"23_left_CEOL_green",NA,NA
"495",3,"23_right_CEOL_blue",NA,NA
"496",3,"23_right_CEOL_green",NA,NA
"497",3,"24_left_CEOL_blue",NA,NA
"498",3,"24_left_CEOL_green",NA,NA
"499",3,"24_right_CEOL_blue",NA,NA
"500",3,"24_right_CEOL_green",NA,NA
"501",3,"25_left_CEOL_blue",NA,NA
"502",3,"25_left_CEOL_green",NA,NA
"503",3,"25_right_CEOL_blue",NA,NA
"504",3,"25_right_CEOL_green",NA,NA
"505",3,"26_left_CEOL_blue",NA,NA
"506",3,"26_left_CEOL_green",NA,NA
"507",3,"26_right_CEOL_blue",NA,NA
"508",3,"26_right_CEOL_green",NA,NA
"509",3,"27_left_CEOL_blue",NA,NA
"510",3,"27_left_CEOL_green",NA,NA
"511",3,"27_right_CEOL_blue",NA,NA
"512",3,"27_right_CEOL_green",NA,NA
"513",3,"28_left_CEOL_blue",NA,NA
"514",3,"28_left_CEOL_green",NA,NA
"515",3,"28_right_CEOL_blue",NA,NA
"516",3,"28_right_CEOL_green",NA,NA
"517",3,"29_left_CEOL_blue",NA,NA
"518",3,"29_left_CEOL_green",NA,NA
"519",3,"29_right_CEOL_blue",NA,NA
"520",3,"29_right_CEOL_green",NA,NA
"521",3,"3_left_CEOL_blue",NA,NA
"522",3,"3_left_CEOL_green",NA,NA
"523",3,"3_right_CEOL_blue",NA,NA
"524",3,"3_right_CEOL_green",NA,NA
"525",3,"30_left_CEOL_blue",NA,NA
"526",3,"30_left_CEOL_green",NA,NA
"527",3,"30_right_CEOL_blue",NA,NA
"528",3,"30_right_CEOL_green",NA,NA
"529",3,"31_left_CEOL_blue",NA,NA
"530",3,"31_left_CEOL_green",NA,NA
"531",3,"31_right_CEOL_blue",NA,NA
"532",3,"31_right_CEOL_green",NA,NA
"533",3,"32_left_CEOL_blue",NA,NA
"534",3,"32_left_CEOL_green",NA,NA
"535",3,"32_right_CEOL_blue",NA,NA
"536",3,"32_right_CEOL_green",NA,NA
"537",3,"33_left_CEOL_blue",NA,NA
"538",3,"33_left_CEOL_green",NA,NA
"539",3,"33_right_CEOL_blue",NA,NA
"540",3,"33_right_CEOL_green",NA,NA
"541",3,"34_left_CEOL_blue",NA,NA
"542",3,"34_left_CEOL_green",NA,NA
"543",3,"34_right_CEOL_blue",NA,NA
"544",3,"34_right_CEOL_green",NA,NA
"545",3,"35_left_CEOL_blue",NA,NA
"546",3,"35_left_CEOL_green",NA,NA
"547",3,"35_right_CEOL_blue",NA,NA
"548",3,"35_right_CEOL_green",NA,NA
"549",3,"36_left_CEOL_blue",NA,NA
"550",3,"36_left_CEOL_green",NA,NA
"551",3,"36_right_CEOL_blue",NA,NA
"552",3,"36_right_CEOL_green",NA,NA
"553",3,"4_left_CEOL_blue",NA,NA
"554",3,"4_left_CEOL_green",NA,NA
"555",3,"4_right_CEOL_blue",NA,NA
"556",3,"4_right_CEOL_green",NA,NA
"557",3,"5_left_CEOL_blue",NA,NA
"558",3,"5_left_CEOL_green",NA,NA
"559",3,"5_right_CEOL_blue",NA,NA
"560",3,"5_right_CEOL_green",NA,NA
"561",3,"6_left_CEOL_blue",NA,NA
"562",3,"6_left_CEOL_green",NA,NA
"563",3,"6_right_CEOL_blue",NA,NA
"564",3,"6_right_CEOL_green",NA,NA
"565",3,"7_left_CEOL_blue",NA,NA
"566",3,"7_left_CEOL_green",NA,NA
"567",3,"7_right_CEOL_blue",NA,NA
"568",3,"7_right_CEOL_green",NA,NA
"569",3,"8_left_CEOL_blue",NA,NA
"570",3,"8_left_CEOL_green",NA,NA
"571",3,"8_right_CEOL_blue",NA,NA
"572",3,"8_right_CEOL_green",NA,NA
"573",3,"9_left_CEOL_blue",NA,NA
"574",3,"9_left_CEOL_green",NA,NA
"575",3,"9_right_CEOL_blue",NA,NA
"576",3,"9_right_CEOL_green",NA,NA
