"","species","seedlingID","timepoint_status","timepoint","alive","dead"
"340","HEAR","13_bottom_HEAR","sept_dead","sept",NA,4.04
"341","HEAR","13_middle_HEAR","jan_alive","jan",4.09,NA
"342","HEAR","13_middle_HEAR","march_alive","march",3.68,NA
"343","HEAR","13_middle_HEAR","may_alive","may",4.93,NA
"344","HEAR","13_middle_HEAR","sept_dead","sept",NA,NA
"345","HEAR","13_top_HEAR","jan_alive","jan",4.36,NA
"346","HEAR","13_top_HEAR","march_alive","march",3.2,NA
"347","HEAR","13_top_HEAR","may_alive","may",5.32,NA
"348","HEAR","13_top_HEAR","sept_dead","sept",NA,5.238
"349","HEAR","14_bottom_HEAR","jan_alive","jan",7.1,NA
"350","HEAR","14_bottom_HEAR","march_alive","march",2.89,NA
"351","HEAR","14_bottom_HEAR","may_alive","may",4.62,NA
"352","HEAR","14_bottom_HEAR","sept_dead","sept",NA,2.155
"353","HEAR","14_middle_HEAR","jan_alive","jan",7.88,NA
"354","HEAR","14_middle_HEAR","march_alive","march",6.54,NA
"355","HEAR","14_middle_HEAR","may_alive","may",6.33,NA
"356","HEAR","14_middle_HEAR","sept_alive","sept",1.8,NA
"357","HEAR","14_top_HEAR","jan_alive","jan",5.69,NA
"358","HEAR","14_top_HEAR","march_alive","march",3.16,NA
"359","HEAR","14_top_HEAR","may_alive","may",2.27,NA
"360","HEAR","14_top_HEAR","sept_dead","sept",NA,NA
"361","HEAR","15_bottom_HEAR","jan_alive","jan",8.32,NA
"362","HEAR","15_bottom_HEAR","march_alive","march",0.82,NA
"363","HEAR","15_bottom_HEAR","may_alive","may",3.152,NA
"364","HEAR","15_bottom_HEAR","sept_alive","sept",3.801,NA
"365","HEAR","15_middle_HEAR","jan_alive","jan",6.88,NA
"366","HEAR","15_middle_HEAR","march_alive","march",0.88,NA
"367","HEAR","15_middle_HEAR","may_alive","may",0.95,NA
"368","HEAR","15_middle_HEAR","sept_alive","sept",1.446,NA
"369","HEAR","15_top_HEAR","jan_alive","jan",6.8,NA
"370","HEAR","15_top_HEAR","march_alive","march",3.94,NA
"371","HEAR","15_top_HEAR","may_alive","may",4.55,NA
"372","HEAR","15_top_HEAR","sept_alive","sept",3.228,NA
"373","HEAR","16_bottom_HEAR","jan_alive","jan",6.6,NA
"374","HEAR","16_bottom_HEAR","march_alive","march",6.97,NA
"375","HEAR","16_bottom_HEAR","may_dead","may",NA,NA
"376","HEAR","16_bottom_HEAR","sept_dead","sept",NA,NA
"377","HEAR","16_middle_HEAR","jan_alive","jan",5.6,NA
"378","HEAR","16_middle_HEAR","march_alive","march",6.42,NA
"379","HEAR","16_middle_HEAR","may_alive","may",7.59,NA
"380","HEAR","16_middle_HEAR","sept_dead","sept",NA,8.631
"381","HEAR","16_top_HEAR","jan_alive","jan",4.67,NA
"382","HEAR","16_top_HEAR","march_alive","march",3.49,NA
"383","HEAR","16_top_HEAR","may_alive","may",5.19,NA
"384","HEAR","16_top_HEAR","sept_alive","sept",4.526,NA
"385","HEAR","17_bottom_HEAR","jan_alive","jan",7.92,NA
"386","HEAR","17_bottom_HEAR","march_alive","march",7.89,NA
"387","HEAR","17_bottom_HEAR","may_alive","may",8.17,NA
"388","HEAR","17_bottom_HEAR","sept_alive","sept",7.66,NA
"389","HEAR","17_middle_HEAR","jan_alive","jan",6.91,NA
"390","HEAR","17_middle_HEAR","march_alive","march",3.72,NA
"391","HEAR","17_middle_HEAR","may_alive","may",5.92,NA
"392","HEAR","17_middle_HEAR","sept_alive","sept",6.501,NA
"393","HEAR","17_top_HEAR","jan_alive","jan",6.05,NA
"394","HEAR","17_top_HEAR","march_alive","march",6.28,NA
"395","HEAR","17_top_HEAR","may_alive","may",10.36,NA
"396","HEAR","17_top_HEAR","sept_alive","sept",11.964,NA
"397","HEAR","18_bottom_HEAR","jan_alive","jan",4.82,NA
"398","HEAR","18_bottom_HEAR","march_alive","march",0.7,NA
"399","HEAR","18_bottom_HEAR","may_dead","may",NA,NA
"400","HEAR","18_bottom_HEAR","sept_dead","sept",NA,NA
"401","HEAR","18_middle_HEAR","jan_alive","jan",7.61,NA
"402","HEAR","18_middle_HEAR","march_dead","march",NA,NA
"403","HEAR","18_middle_HEAR","may_dead","may",NA,NA
"404","HEAR","18_middle_HEAR","sept_dead","sept",NA,NA
"405","HEAR","18_top_HEAR","jan_alive","jan",5.26,NA
"406","HEAR","18_top_HEAR","march_dead","march",NA,NA
"407","HEAR","18_top_HEAR","may_dead","may",NA,NA
"408","HEAR","18_top_HEAR","sept_dead","sept",NA,NA
"409","HEAR","19_bottom_HEAR","jan_alive","jan",4.41,NA
"410","HEAR","19_bottom_HEAR","march_alive","march",4.37,NA
"411","HEAR","19_bottom_HEAR","may_alive","may",2.51,NA
"412","HEAR","19_bottom_HEAR","sept_dead","sept",NA,NA
"413","HEAR","19_middle_HEAR","jan_alive","jan",10.61,NA
"414","HEAR","19_middle_HEAR","march_alive","march",8.93,NA
"415","HEAR","19_middle_HEAR","may_alive","may",8.99,NA
"416","HEAR","19_middle_HEAR","sept_dead","sept",NA,NA
"417","HEAR","19_top_HEAR","jan_alive","jan",4.9,NA
"418","HEAR","19_top_HEAR","march_alive","march",3.99,NA
"419","HEAR","19_top_HEAR","may_alive","may",5.83,NA
"420","HEAR","19_top_HEAR","sept_dead","sept",NA,NA
"421","HEAR","2_bottom_HEAR","jan_alive","jan",5.35,NA
"422","HEAR","2_bottom_HEAR","march_alive","march",4.26,NA
"423","HEAR","2_bottom_HEAR","may_alive","may",5.64,NA
